keywords_list,burst_detected,bursts_str
adherence,TRUE,24
adventure,TRUE,17; 19
adventure seeking,TRUE,24
adventure tourism,TRUE,3; 5; 19; 21
adventurous services,TRUE,22; 24
aerospace psychology,TRUE,22; 24
age,TRUE,22; 24
airline pilot,TRUE,24
alternative tourism,TRUE,24
ambassador,TRUE,22; 24
and governance,TRUE,24
anthropocene,TRUE,19; 21
archaeoastronomy,TRUE,21; 23
arctic,TRUE,24
artificial intelligence,TRUE,24
artificial neural networks,TRUE,24
assurance,TRUE,21; 23
astronomical tourism,TRUE,24
astronomy,TRUE,15; 17
astrotourism,TRUE,9; 11; 21; 23
astrotourism experience,TRUE,22; 24
astrotourist,TRUE,24
astroturismo,TRUE,22; 24
attitude,TRUE,24
augmented reality,TRUE,22; 24
awe,TRUE,22; 24
behavioral economics,TRUE,24
behavioral intentions,TRUE,22; 24
behavioral loyalty,TRUE,22; 24
business and human rights,TRUE,24
captain cook,TRUE,24
case study,TRUE,22; 24
chinese tourists,TRUE,24
citizenship,TRUE,22; 24
cognitive appraisal,TRUE,22; 24
colonialism,TRUE,24
colonizing outer space,TRUE,3; 5
commercial space tourism,TRUE,22; 24
commercial space tourism market,TRUE,22; 24
commercial spaceflight,TRUE,17; 19; 24
commodity frontier,TRUE,22; 24
community based tourism,TRUE,22; 24
comprehensive literature review,TRUE,24
construction,TRUE,21; 23
content analysis,TRUE,24
contract law,TRUE,22; 24
cosmodrom baikonur,TRUE,19; 21
counterpublics,TRUE,24
covid‐19 pandemic,TRUE,22; 24
csddd,TRUE,24
current trends,TRUE,24
cyber tourism,TRUE,4; 6
cyber travel,TRUE,4; 6
dark,TRUE,20; 22
dark skies,TRUE,22; 24
dark sky sites,TRUE,24
dark sky tourism,TRUE,24
deep learning,TRUE,24
delphi method,TRUE,22; 24
desenvolvimento regional,TRUE,22; 24
desire,TRUE,24
destination image,TRUE,24
development,TRUE,19; 21
disability,TRUE,22; 24
disaffected citizens,TRUE,20; 22
doozy tourism,TRUE,24
emerging industry,TRUE,24
emotional image,TRUE,22; 24
empirical orthogonal function (eof),TRUE,22; 24
environment,TRUE,22; 24
environmental,TRUE,24
environmental consciousness,TRUE,24
environmental hazard,TRUE,22; 24
ethic,TRUE,20; 22; 24
eudaimonic,TRUE,19; 21
existentialism,TRUE,24
experience,TRUE,19; 21; 23
experience economy,TRUE,24
experiência,TRUE,22; 24
exploitation of celestial bodies,TRUE,24
extrinsic motivation,TRUE,24
festival,TRUE,24
five forces,TRUE,24
frontier,TRUE,22; 24
fsqca,TRUE,23
future opportunities,TRUE,24
gender,TRUE,22; 24
global commons,TRUE,22; 24
granular interaction thinking theory (gitt),TRUE,24
health,TRUE,22; 24
hedonic,TRUE,19; 21
hedonism,TRUE,22; 24
heritage,TRUE,22; 24
heritage tourism,TRUE,19; 21
heritagisation,TRUE,20; 22
high risk industries,TRUE,24
history of travel,TRUE,9; 11
hospitality,TRUE,24
human health,TRUE,19; 21
hybrid review,TRUE,22; 24
imagem afetiva,TRUE,22; 24
immersiveness,TRUE,24
income generating activities,TRUE,24
industry 4.0,TRUE,22; 24
informed consent,TRUE,22; 24
institutional theory,TRUE,24
international law,TRUE,24
internet memes,TRUE,24
intersectional justice,TRUE,24
intervention theory,TRUE,22; 24
intrinsic motivation,TRUE,24
jasper,TRUE,24
karoo,TRUE,10; 12
knowledge diffusion,TRUE,4; 6
light pollution,TRUE,24
limits to growth,TRUE,19; 21
literature review,TRUE,21; 23
local community,TRUE,21; 23
local development,TRUE,20; 22
low density areas,TRUE,22; 24
luxury tourism,TRUE,24
maartje roelofsen,TRUE,24
meaningfulness,TRUE,22; 24
media technologies,TRUE,19; 21
mediating effect,TRUE,17; 19
memorable tourism experience,TRUE,22; 24
mental capacity,TRUE,22; 24
mental health,TRUE,22; 24
mitigation of space waste,TRUE,24
mobility,TRUE,18; 20; 22; 24
model of goal directed behaviour,TRUE,22; 24
monument,TRUE,22; 24
motivated consumer innovativeness (mci),TRUE,17; 19
motivation,TRUE,10; 12; 19; 21; 24
multilayer perceptron,TRUE,24
murmansk region,TRUE,24
natural park sierras de cazorla,TRUE,2
natural tourism,TRUE,2
need,TRUE,22; 24
new space economy,TRUE,22; 24
new zealand,TRUE,22; 24
niche aviation operations,TRUE,19; 21
night,TRUE,20; 22
night sky conservation,TRUE,24
novelty,TRUE,22; 24
novelty seeking,TRUE,24
observation,TRUE,15; 17
open space,TRUE,22; 24
orbital debris,TRUE,24
outcome,TRUE,24
outer space,TRUE,22
pace market,TRUE,24
perceived novelty,TRUE,17; 19
perceived risk,TRUE,24
performativity,TRUE,24
peripheral areas,TRUE,20; 22
pestel analysis,TRUE,24
pls sem,TRUE,22; 24
posthumanism,TRUE,22; 24
power,TRUE,19; 21
precautionary policies,TRUE,22; 24
primary school students,TRUE,15; 17
private actors,TRUE,24
prolonged waiting time,TRUE,24
prosocial motivation,TRUE,22; 24
psychology of space marketing,TRUE,22; 24
public sphere,TRUE,24
pull factors,TRUE,24
push,TRUE,24
qualitative research,TRUE,24
radio astronomy,TRUE,21; 23
rational consumption,TRUE,24
regional development,TRUE,22; 24
research,TRUE,19; 21
response surface analysis,TRUE,24
risk theory,TRUE,22; 24
rural communities,TRUE,21; 23
s(stimuli) o(organism) r(response) approach,TRUE,22; 24
satisfaction,TRUE,22; 24
scenario,TRUE,4; 6
scenic tourism,TRUE,19; 21
