"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Márquez Carrasco, C.","Márquez Carrasco, Carmen (59953820700)","59953820700","The Interaction Between Businesses, Human Rights, and Sustainability in Outer Space: towards a Comprehensive Regulatory Framework?; La interacción entre empresas, derechos humanos y sostenibilidad en el espacio ultraterrestre: ¿Hacia un marco regulatorio integral?","2025","Anuario Espanol de derecho Internacional","41","","","53","96","0","0","10.15581/010.41.53-96","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008532356&doi=10.15581%2F010.41.53-96&partnerID=40&md5=a96e261c6fbad35b87f90fc027966e50","Universidad de Sevilla, Sevilla, Spain","Márquez Carrasco, Carmen, Universidad de Sevilla, Sevilla, Spain","The article titled The Interaction Between Businesses, Human Rights, and Sustainability in Outer Space examines how the rise of New Space and the New Space Economy have transformed this domain, highlighting the growing prominence of private actors in activities such as space tourism, satellite constellations, and asteroid mining. While these initiatives promise economic and scientific benefits, they also pose significant ethical, legal, environmental, and human rights challenges, exacerbated by regulatory gaps in the international legal framework of Old Space. The article aims to assess the limitations of the existing space law in addressing these business activities and to explore the integration of contemporary international business and human rights standards, such as the UN Guiding Principles on Business and Human Rights and Directive (EU) 2024/1760 on corporate sustainability due diligence, into the space context. The methodology adopts an interdisciplinary approach, combining international legal analysis with human rights and sustainability perspectives. Existing regulatory frameworks are reviewed, and their implications for critical areas are examined. The findings highlight the need for robust multilateral regulation to address the challenges of New Space, ensuring the sustainable governance of shared outer space resources while balancing economic development, human rights, and environmental protection. In doing so, the article contributes to the global discussion on the future of space law and the interaction between businesses and sustainability in outer space. © 2025 Elsevier B.V., All rights reserved.","business and human rights; csddd; international law; outer space; private actors; sustainability; UN Guiding Principles","","C. Márquez Carrasco; Universidad de Sevilla, Spain; email: cmarque@us.es","","Servicio de Publicaciones de la Universidad de Navarra","21733775; 2254660X","","","","Spanish","Anu. esp. derecho int.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105008532356"
"Le Roy, B.; Martin-Krumm, C.; Beauchamps, V.; Jimenez, A.; Giaume, L.; Jacob, S.; Voilque, A.; Ferhani, O.; Altena, E.; Trousselard, M.","Le Roy, Barbara (58083366200); Martin-Krumm, Charles P. (8264498100); Beauchamps, Vincent (57208834205); Jimenez, Adrien (59757579000); Giaume, Louise (57222475434); Jacob, Sandrine (57221050062); Voilque, Aude (59756675100); Ferhani, Ouamar (6508133707); Altena, Ellemarije (24775282000); Trousselard, Marion (15752129700)","58083366200; 8264498100; 57208834205; 59757579000; 57222475434; 57221050062; 59756675100; 6508133707; 24775282000; 15752129700","Effects of repeated gravity changes during parabolic flight: Evidence of the need to assist space tourists to outer space","2025","PLOS ONE","20","4 April","e0320588","","","0","1","10.1371/journal.pone.0320588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003758654&doi=10.1371%2Fjournal.pone.0320588&partnerID=40&md5=2650af62e6fafc6dc567af773e6f158c","Neurophysiology of Stress, Institut de recherche biomédicale des armées, Bretigny-sur-Orge, France; CNES Centre National d'Etudes Spatiales, Paris, France; Université de Lorraine, Nancy, France; Fatigue and Vigilance Unit, Institut de recherche biomédicale des armées, Bretigny-sur-Orge, France; AGM1, Paris, France; Digital Innovation and Artificial Intelligence Department, Institut de recherche biomédicale des armées, Bretigny-sur-Orge, France; Université de Bordeaux, Bordeaux, France; French Military Health Service Academy, Paris, France","Le Roy, Barbara, Neurophysiology of Stress, Institut de recherche biomédicale des armées, Bretigny-sur-Orge, France, CNES Centre National d'Etudes Spatiales, Paris, France, Université de Lorraine, Nancy, France; Martin-Krumm, Charles P., Neurophysiology of Stress, Institut de recherche biomédicale des armées, Bretigny-sur-Orge, France, CNES Centre National d'Etudes Spatiales, Paris, France, Université de Lorraine, Nancy, France; Beauchamps, Vincent, Fatigue and Vigilance Unit, Institut de recherche biomédicale des armées, Bretigny-sur-Orge, France; Jimenez, Adrien, Neurophysiology of Stress, Institut de recherche biomédicale des armées, Bretigny-sur-Orge, France; Giaume, Louise, Neurophysiology of Stress, Institut de recherche biomédicale des armées, Bretigny-sur-Orge, France, AGM1, Paris, France; Jacob, Sandrine, Neurophysiology of Stress, Institut de recherche biomédicale des armées, Bretigny-sur-Orge, France; Voilque, Aude, Neurophysiology of Stress, Institut de recherche biomédicale des armées, Bretigny-sur-Orge, France; Ferhani, Ouamar, Digital Innovation and Artificial Intelligence Department, Institut de recherche biomédicale des armées, Bretigny-sur-Orge, France; Altena, Ellemarije, Université de Bordeaux, Bordeaux, France; Trousselard, Marion, Neurophysiology of Stress, Institut de recherche biomédicale des armées, Bretigny-sur-Orge, France, CNES Centre National d'Etudes Spatiales, Paris, France, Université de Lorraine, Nancy, France, French Military Health Service Academy, Paris, France","In the era of space tourism, walking in the steps of Neil Armstrong has never been more real. Future space tourists will have to face the harshness of the environment, especially the travel, and adapt quickly for their own safety. This issue raises both the question of preparation and the impact of such a journey on novice populations who have not been selected for their physical and cognitive abilities. The objectives of the study are (1) to investigate the impact of space travel on psychophysiological and sensory responses during a parabolic flight experience; (2) to assess recovery from this experience one week later; and (3) to evaluate the relevance of high parasympathetic functioning at baseline as a biomarker of adaptation. Seventeen healthy participants were enrolled in the 79th ESA Parabolic Flight Campaign on board the Airbus A310. Psychological, physiological, and sensory responses were measured at different times from the day before the 3h-flight (baseline) to one week after the flight (recovery). Labels were allocated to two groups according to their parasympathetic functioning at baseline: high parasympathetic (HP) profile and low parasympathetic (LP) profile. At the psychological level, those with an HP profile have a higher coping acceptation and a higher level of interoceptive awareness than the LP profile, except for sleep quality. At the physiological and exteroceptive level, they have a higher heart rate variability, preserved identification of odors and a predisposition to a more adaptive postural response postflight. Nevertheless, postural stability is affected in both profiles, particularly during visual deprivation, while their heart rate variability is increased in both linear and non-linear components. Nevertheless, our results reveal that the recovery constitutes a critical period. Flyers have a decrease of interoceptive awareness and emotions, especially the HP profile. Although the LP profile reported a better subjective sleep quality, both profiles decreased their sleep quality. These results raise the question of the risks that may be induced by space tourism. They highlight two major outcomes: (1) travel of future space tourists does not seem to be at risk as long as the individuals are qualified and fit for the flight and adaptation may be improved by targeting parasympathetic functioning; (2) level of experience has no impact on the psychophysiological and sensory responses. The results highlight the need to monitor the crews over several days and/or to include in the preparation a module allowing them to be prepared for the postflight period and the return to life on Earth. Beyond this, these results contribute to enriching our knowledge of the human challenge of confronting space travel constraints. © 2025 Elsevier B.V., All rights reserved.","","adaptation; adult; Article; awareness; body height; body weight; circadian rhythm; coping; dizziness; emotion; female; flight; gravity; hearing impairment; heart rate; heart rate variability; human; human experiment; male; medical history; nausea; normal human; parabolic flight; physical activity; physician; questionnaire; sleep quality; sociodemographics; space; space tourist; tourism; vertigo; physiological adaptation; physiology; space flight; young adult; Adaptation, Physiological; Adult; Female; Gravitation; Heart Rate; Humans; Male; Space Flight; Young Adult","B. Le Roy; Stress Neurophysiology Unit, French Armed Forces Biomedical Research Institute, Brétigny-sur-Orge, France; email: barbara.m.le.roy@gmail.com","","Public Library of Science","19326203","","POLNC","40267028","English","PLoS ONE","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105003758654"
"Goehlich, R.A.; Bebenroth, R.","Goehlich, Robert A. (6507765804); Bebenroth, Ralf (16023929000)","6507765804; 16023929000","Pilots’ desire to become future space tourism pilots: Polynomial regression using response surface analysis","2025","Transport Policy","162","","","509","520","0","1","10.1016/j.tranpol.2024.10.032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214081480&doi=10.1016%2Fj.tranpol.2024.10.032&partnerID=40&md5=24d8b651b6d81667ad6fbb5d90b1a6e2","Embry-Riddle Aeronautical University, Daytona Beach, United States; Kobe University, Kobe, Japan","Goehlich, Robert A., Embry-Riddle Aeronautical University, Daytona Beach, United States; Bebenroth, Ralf, Kobe University, Kobe, Japan","In this study, we investigated the impact of pilots’ motivation on their desire to be space tourism pilots or to remain in their current occupation (adherence). We analyzed the feedback obtained from a survey questionnaire on a sample consisting of 106 pilots with flying experience. In particular, we compared the pilots’ intrinsic and extrinsic motivations to investigate two outcomes: the desire to become future space pilots or to remain as air pilots. Applying the self-determination theory, we found that intrinsic motivation mattered more than extrinsic motivation. Furthermore, by applying response surface analysis as our statistical tool, it was revealed that motivation for the desire to be space pilots differed from that for adherence. To be more precise, motivation (intrinsic and extrinsic) correlated positively with desire to become space pilots, with higher motivation being associated with a steeper increase. In contrast, motivation correlated negatively with adherence (maintaining status quo). Moreover, pilots who experienced mid-level motivation preferred to stay at their “old” profession while highly motivated pilots were less hesitant to become space pilots. Further, we discovered that for desire a linear effect of motivation was predominant, while for adherence a quadratic effect of motivation was more pronounced. The policy and managerial implications of the results are discussed. © 2025 Elsevier B.V., All rights reserved.","Adherence; Airline pilot; Desire; Extrinsic motivation; Intrinsic motivation; Response surface analysis; Space tourism pilot; Spaceline","Leisure; Tourism; Adherence; Airline pilots; Desire; Extrinsic motivation; Intrinsic motivation; Polynomial regression; Response surface analysis; Space tourism pilot; Space tourisms; Spaceline; airline industry; future prospect; occupation; regression analysis; response surface methodology; tourism","R.A. Goehlich; Embry-Riddle Aeronautical University, Worldwide, Frankfurt, Europe Campus, Bessie-Coleman-Str. 7, 60549, Germany; email: robert.goehlich@erau.edu","","Elsevier Ltd","0967070X; 1879310X","9781612095158","","","English","Transp. Policy","Article","Final","","Scopus","2-s2.0-85214081480"
"Hvenegaard, G.T.; Banack, C.S.","Hvenegaard, Glen T. (6507844016); Banack, Clark S. (56386266400)","6507844016; 56386266400","Visitor outcomes from dark sky tourism: a case study of the Jasper Dark Sky Festival","2025","Journal of Ecotourism","24","1","","75","84","0","2","10.1080/14724049.2024.2320698","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000428664&doi=10.1080%2F14724049.2024.2320698&partnerID=40&md5=f43f42044502ac03ecf17c772fb3699d","University of Alberta–Augustana, Camrose, Canada","Hvenegaard, Glen T., University of Alberta–Augustana, Camrose, Canada; Banack, Clark S., University of Alberta–Augustana, Camrose, Canada","Dark sky tourism is a growing, but under-studied sector of ecotourism. While some research has examined the economic impacts, regional sustainability, and management of dark sky tourism, researchers know little about tourist experiences and outcomes. This study seeks to determine visitor outcomes (satisfaction, learning, attitudes, and behavior changes) among participants at the Jasper Dark Sky Festival in Alberta, Canada. Visitors were middle-aged, balanced between genders, traveled an average of 430 km, and were primarily urban-based. Most were first-time visitors, were present 2 or more days, and attended over 5 festival events. Respondents reported high satisfaction levels, due to the low cost and diversity of events, and welcoming nature of the community, presenters, and volunteers. Respondents reported many areas of learning, particularly about the night sky and night animals. Respondents had very positive attitudes about protecting dark skies, but only 42% planned to change any behaviors to protect dark skies. Study results will help festival organizers design dark sky tourism events to optimize visitor outcomes. In particular, festival organizers can address some barriers to behavioral change, such as stressing the value of dark skies and providing information about how to reduce light pollution. © 2025 Elsevier B.V., All rights reserved.","Dark sky tourism; experiences; festivals; Jasper; outcomes; visitors","","G.T. Hvenegaard; University of Alberta–Augustana, Camrose, Canada; email: gth@ualberta.ca","","Routledge","14724049; 17477638","","","","English","J. Ecotour.","Note","Final","","Scopus","2-s2.0-86000428664"
"Spector, S.; Higham, J.","Spector, Samuel (55233532200); Higham, J. E.S. (7004174711)","55233532200; 7004174711","Space tourism and sustainable trajectory","2025","Tourism Geographies","","","","","","0","1","10.1080/14616688.2025.2525815","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010440293&doi=10.1080%2F14616688.2025.2525815&partnerID=40&md5=92c8b37bbf23190a03098109e3e876f4","KIMEP University, Almaty, Kazakhstan; Department of Tourism, Griffith University, Brisbane, Australia","Spector, Samuel, KIMEP University, Almaty, Kazakhstan; Higham, J. E.S., Department of Tourism, Griffith University, Brisbane, Australia","The commercial spaceflight industry is progressing rapidly. Yet, there is a lack of research theorising what the spatio-temporal contours of sustainability look like if the biosphere, along with its finite resources and limited ability to sustain continued population growth, constitutes a boundary that can be readily transcended. Informed by the concept of sustainable trajectory, this paper presents a conceptual model that extends the traditional spatial (e.g. national, global) and temporal (e.g. near future, intergenerational) scales that sustainability discourses in geography are typically predicated upon. We conducted a critical narrative literature review to analyse the implications of space tourism in the context of sustainable trajectory. Our analysis highlights deep tensions between the perspectives of sustainability typically promulgated in academic spheres and the path dependencies currently being formed by private spaceflight companies. © 2025 Elsevier B.V., All rights reserved.","commercial spaceflight; intersectional justice; Maartje Roelofsen, Wageningen University & Research, the Netherlands; orbital debris; Space tourism; space travel; sustainability; sustainable trajectory","","S. Spector; Bang College of Business, KIMEP University, Almaty, Kazakhstan; email: s.spector@kimep.kz","","Routledge","14616688; 14701340","","","","English","Tour. Geogr.","Article","aip","","Scopus","2-s2.0-105010440293"
"Davydova, A.S.","Davydova, Alyona S. (59978802200)","59978802200","TOURIST PERCEPTIONS, BELIEFS, AND EVALUATIONS OF THE ARCTIC: A CASE STUDY OF THE MURMANSK REGION; ИМИДЖ АРКТИЧЕСКОЙ ТЕРРИТОРИИ В ПРЕДСТАВЛЕНИЯХ, МНЕНИЯХ И ОЦЕНКАХ ТУРИСТОВ (НА ПРИМЕРЕ МУРМАНСКОЙ ОБЛАСТИ)","2025","Sever i Rynok: Formirovanie Ekonomiceskogo Poradka","28","2","","164","183","0","0","10.37614/2220-802X.2.2025.88.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009880074&doi=10.37614%2F2220-802X.2.2025.88.011&partnerID=40&md5=024fe764cc1c1d1c9a511b4ef92aa461","Barents Centre of the Humanities Kola Science Centre of the Russian Academy of Sciences, Apatity, Russian Federation","Davydova, Alyona S., Barents Centre of the Humanities Kola Science Centre of the Russian Academy of Sciences, Apatity, Russian Federation","The Murmansk Region, located on the Kola Peninsula in the Arctic, is actively developing as a tourist destination. However, many aspects related to the marketing and representation of its cultural and natural heritage remain underexplored. The purpose of this article is to examine the image of the Murmansk Region as perceived through tourists’ beliefs, opinions, and evaluations of Arctic-specific attributes — factors that can play a decisive role in destination choice. The study is based on data from a sociological survey conducted in the city of Kirovsk, one of the region’s major tourist hubs. The survey results indicate that, for most tourists, the defining feature of the Arctic is its natural environment and associated phenomena. Visitors tend to envision the Arctic as a landscape of harsh climatic conditions — a place to test one’s endurance and spirit. This pursuit of novel experiences is often shaped by prior knowledge and cultural narratives about the Arctic, particularly those involving human confrontation with nature and the conquest of the North. The immersive experience created by the interplay between natural landscapes and cultural elements — including the traditions of local communities and Indigenous peoples — contributes to the formation of a distinctive image of the Murmansk Region within the broader Arctic context. The study’s theoretical contribution lies in providing empirical data that supports an expanded typology of Arctic tourism, incorporating forms such as indigenous ecotourism (involving participation of the indigenous population in ecotourism activities) and dark sky tourism (travel to low-light-pollution areas for observing celestial objects and phenomena). The findings may be of practical interest to policymakers involved in tourism development in the Arctic, as well as to tourism industry stakeholders. Future research should focus on analyzing tourist experiences across various parts of the Murmansk Region and on identifying risks associated with increasing visitor numbers. © 2025 Elsevier B.V., All rights reserved.","Arctic; destination image; Murmansk Region; tourist experience; tourist perceptions","","A.S. Davydova; Barents Centre of the Humanities of the Kola Science Center, Apatity, Russian Federation; email: a.davidova@ksc.ru","","Kola Science Centre of the Russian Academy of Sciences","2220802X","","","","Russian","Sev. Rynok. Form. Ekon. Porad.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105009880074"
"Khan, G.A.; Bashir, I.; Alshiha, A.A.; Alnasser, E.M.; Alkhozaim, S.M.; Alshiha, F.A.","Khan, Gohar Abbas (59967950500); Bashir, Irfan (56699756500); Alshiha, Ahmed Abdulaziz (57416834100); Alnasser, Emad Mohammed (59222461700); Alkhozaim, Sultan Mohammed (59221482900); Alshiha, Fatimah Abdulaziz (59091586700)","59967950500; 56699756500; 57416834100; 59222461700; 59221482900; 59091586700","Balancing thrill, risk and sustainability: an optimal arousal perspective on space tourism intentions","2025","Journal of Tourism Futures","","","","","","0","1","10.1108/JTF-03-2025-0073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009386164&doi=10.1108%2FJTF-03-2025-0073&partnerID=40&md5=7f1c718f2ce0707290733ab24b2dcd0f","Department of Management Studies, Islamic University of Science and Technology, Awantipora, India; Department of Tourism and Hotel Management, King Saud University, Riyadh, Saudi Arabia; Management Department, College of Business Administration, Riyadh, Saudi Arabia","Khan, Gohar Abbas, Department of Management Studies, Islamic University of Science and Technology, Awantipora, India; Bashir, Irfan, Department of Management Studies, Islamic University of Science and Technology, Awantipora, India; Alshiha, Ahmed Abdulaziz, Department of Tourism and Hotel Management, King Saud University, Riyadh, Saudi Arabia; Alnasser, Emad Mohammed, Department of Tourism and Hotel Management, King Saud University, Riyadh, Saudi Arabia; Alkhozaim, Sultan Mohammed, Department of Tourism and Hotel Management, King Saud University, Riyadh, Saudi Arabia; Alshiha, Fatimah Abdulaziz, Management Department, College of Business Administration, Riyadh, Saudi Arabia","Purpose: This study explores the psychological motivations behind space tourism participation, specifically through the lens of optimal arousal theory. It examines how novelty seeking, sensation seeking and adventure seeking shape attitudes toward space tourism and ultimately influence behavioral intentions. Additionally, it evaluates how perceived risk and environmental concerns moderate these relationships, providing a comprehensive understanding of the decision-making process in this high-stimulation travel sector. Design/methodology/approach: The study adopts a cross-sectional research design, collecting data from 511 luxury tourists who had stayed in eleven five- and seven-star hotels in Riyadh, Saudi Arabia. Data analysis was conducted using SPSS for descriptive statistics and SMART-PLS for structural equation modeling (SEM) to test the hypothesized relationships. Findings: The results highlight distinct patterns among psychological motivations: novelty seekers and adventure seekers remain motivated to engage in space tourism regardless of perceived risk. The results show that sensation seekers, however, exhibit a decline in interest when they perceive high levels of risk, indicating a threshold beyond which risk becomes a deterrent rather than a stimulant. Further, environmental awareness significantly reduces space tourism intentions, reflecting a trade-off between the desire for unique travel experiences and concerns about sustainability. Moreover, attitude plays a partial mediating role between motivations and behavioral intentions, reinforcing the idea that positive attitudes are crucial for translating high-arousal motivations into actual intent to participate in space tourism. Practical implications: Space tourism providers should tailor marketing to distinct consumer profiles. Campaigns should emphasize excitement, exclusivity and transformation while addressing sustainability concerns through carbon offsets and eco-friendly innovations. Clear safety assurances can retain sensation seekers who may disengage at high risk levels. Segmented strategies should differentiate novelty/adventure seekers, drawn to space travel’s uniqueness, from sensation seekers needing a balance of risk and excitement. Addressing these factors can enhance engagement, refine marketing and support sustainable industry growth. Originality/value: This study provides a unique integration of optimal arousal theory with sustainability concerns, offering a multidimensional perspective on consumer motivations in space tourism. By investigating the dual moderating effects of perceived risk and environmental awareness, it contributes novel insights into how psychological drivers interact with ethical constraints in decision-making. These findings fill a critical gap in the literature, positioning space tourism as an emerging yet complex sector where thrill-seeking aspirations must be balanced with risk and sustainability considerations. © 2025 Elsevier B.V., All rights reserved.","Adventure seeking; Attitude; Environmental consciousness; Novelty seeking; Perceived risk; Space tourism","","G.A. Khan; Department of Management Studies, School of Business Studies, Islamic University of Science and Technology, Awantipora, India; email: khangowher@gmail.com","","Emerald Publishing","2055592X; 20555911","","","","English","J. Tour. Futur.","Article","aip","All Open Access; Gold Open Access","Scopus","2-s2.0-105009386164"
"Zhang, Y.; Cui, L.","Zhang, Yunzhen (57841915900); Cui, Lingshu (59929935200)","57841915900; 59929935200","Tourists’ Motivations for Visiting Dark Sky Sites: An Exploratory Study in China","2025","Tourism Analysis","30","2","","257","263","0","0","10.3727/108354224X17209729214485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007351903&doi=10.3727%2F108354224X17209729214485&partnerID=40&md5=134fe1bf6e376242458b9f3a3d5d54f2","Department of Tourism, University of Otago, Dunedin, New Zealand; Shanghai Institute of Tourism, Shanghai, China","Zhang, Yunzhen, Department of Tourism, University of Otago, Dunedin, New Zealand; Cui, Lingshu, Shanghai Institute of Tourism, Shanghai, China","Dark sky tourism as a form of niche tourism is gaining popularity worldwide. However, empirical research examining what motivates tourists to seek out this type of experience is lacking. This research note contributes to bridging this knowledge gap by employing push–pull theory to explore tourists’ motivations for visiting dark sky sites. Adopting a qualitative netnographic approach, Chinese tourists’ perspectives were explored through 22 semistructured interviews. Eleven thematic factors were extracted and mapped within a refined push and pull motivation framework. The findings show how push and pull factors motivate both first-time and repeat visitors to gain dark sky experiences. © 2025 Elsevier B.V., All rights reserved.","Chinese tourists; Dark sky sites; Dark sky tourism; Motivations; pull factors; Push","","L. Cui; Shanghai Institute of Tourism, Shanghai, China; email: cuilingshu2014@163.com","","Cognizant Communication Corporation","19433999; 10835423","","","","English","Tour. Anal.","Article","Final","","Scopus","2-s2.0-105007351903"
"Huang, Z.; Peng, K.-L.; Wang, Y.; Qiu, H.","Huang, Zhilun (59902986400); Peng, Kang Lin (26646880800); Wang, Ya (59902405600); Qiu, Hanqin (57764078400)","59902986400; 26646880800; 59902405600; 57764078400","Beyond Earth: Comparing Rational and Behavioral Mediators in Space Tourism Intentions","2025","Journal of Quality Assurance in Hospitality and Tourism","","","","","","0","3","10.1080/1528008X.2025.2504448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005410471&doi=10.1080%2F1528008X.2025.2504448&partnerID=40&md5=9453d021fee8968f5cdf7ea83db9b331","Faculty of International Tourism and Management, City University of Macau, Taipa, Macao; College of Digital Economics, Nanning University, Nanning, China; International School of Cultural Tourism, Hangzhou City University, Hangzhou, China","Huang, Zhilun, Faculty of International Tourism and Management, City University of Macau, Taipa, Macao; Peng, Kang Lin, Faculty of International Tourism and Management, City University of Macau, Taipa, Macao; Wang, Ya, College of Digital Economics, Nanning University, Nanning, China; Qiu, Hanqin, International School of Cultural Tourism, Hangzhou City University, Hangzhou, China","This study examines the influence of space museum visitation on space tourism intention through the mediating roles of rational and behavioral consumption factors. Participants comprised prospective space tourists recruited from space museum visitors, with a multi-study approach comparing rational and behavioral mediation pathways. Findings indicate that museum visits significantly amplify behavior intention toward space tourism. Mediation analyses identified distinct effect sizes for rational and behavioral components, highlighting divergent perceptions of space tourism as a rational or emotional choice. This multiple studies also provide actionable strategies for museums to foster engagement in nascent tourism sectors. © 2025 Elsevier B.V., All rights reserved.","behavioral economics; experience economy; rational consumption; space museum; space technology; Space tourism","","K.-L. Peng; Faculty of International Tourism and Management, City University of Macau, Macao; email: klpeng@cityu.edu.mo","","Routledge","1528008X","","","","English","J. Qual. Assur. Hosp. Tour.","Article","aip","","Scopus","2-s2.0-105005410471"
"Nguyen, M.-H.; Duong, M.-P.T.; Tran, T.T.; Sari, N.P.W.P.; Tedjasuksmana, H.; La, V.-P.; Vuong, Q.-H.","Nguyen, Minh Hoang (57205713877); Duong, Minh Phuong Thi (58554469300); Tran, Thanh Tu (59728722700); Sari, Ni Putu Wulan Purnama (57203529996); Tedjasuksmana, Hendra (59727556200); La, Viet Phuong (57204013022); Vuong, Quan Hoang (45161334600)","57205713877; 58554469300; 59728722700; 57203529996; 59727556200; 57204013022; 45161334600","Beyond trust: how usefulness and immersiveness drive space tourism intentions in high-risk contexts","2025","Current Issues in Tourism","","","","","","0","2","10.1080/13683500.2025.2487634","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002145770&doi=10.1080%2F13683500.2025.2487634&partnerID=40&md5=8eebb80be4dbd3bd162b09053a038f51","Centre for Interdisciplinary Social Research, Phenikaa University, Hanoi, Viet Nam; Faculty of Social Sciences and Humanities, Ton-Duc-Thang University, Ho Chi Minh City, Viet Nam; Department of Food and Resource Economics, Københavns Universitet, Copenhagen, Denmark; Faculty of Nursing, Widya Mandala Surabaya Catholic University, Surabaya, Indonesia; Faculty of Teacher Education, Widya Mandala Surabaya Catholic University, Surabaya, Indonesia","Nguyen, Minh Hoang, Centre for Interdisciplinary Social Research, Phenikaa University, Hanoi, Viet Nam; Duong, Minh Phuong Thi, Faculty of Social Sciences and Humanities, Ton-Duc-Thang University, Ho Chi Minh City, Viet Nam; Tran, Thanh Tu, Department of Food and Resource Economics, Københavns Universitet, Copenhagen, Denmark; Sari, Ni Putu Wulan Purnama, Faculty of Nursing, Widya Mandala Surabaya Catholic University, Surabaya, Indonesia; Tedjasuksmana, Hendra, Faculty of Teacher Education, Widya Mandala Surabaya Catholic University, Surabaya, Indonesia; La, Viet Phuong, Centre for Interdisciplinary Social Research, Phenikaa University, Hanoi, Viet Nam; Vuong, Quan Hoang, Centre for Interdisciplinary Social Research, Phenikaa University, Hanoi, Viet Nam","The rapidly evolving space tourism industry faces significant challenges in building consumer trust and balancing emotional appeal with factual accuracy–both essential for reducing uncertainty and fostering long-term public engagement in this high-risk sector. This study examines the key factors shaping individuals’ intentions to participate in space tourism, with a focus on their perceived trustworthiness, usefulness, and immersiveness of information on social media. Applying Granular Interaction Thinking Theory (GITT), we explore the interplay between trust evaluation and subjective cost-benefit judgment of individuals in the high-risk tourism context. The findings reveal that while trustworthiness positively influences participation intention, its role diminishes when usefulness and immersiveness are particularly strong. This suggests that space tourists, who are naturally inclined toward risk-taking, prioritise experiential rewards–such as novelty, prestige, and emotional engagement–over concerns about information reliability. These insights offer practical implications for marketing in high-risk industries, highlighting the importance of immersive storytelling, exclusivity, and transformative experiences over conventional trust-building measures. Future research should investigate how personal risk tolerance, prior experience, and cognitive biases shape thought processes, decision-making, and behaviours in extreme tourism contexts. © 2025 Elsevier B.V., All rights reserved.","Granular Interaction Thinking Theory (GITT); high-risk industries; immersiveness; Space tourism; trustworthiness; usefulness","","M.-P.T. Duong; Faculty of Social Sciences and Humanities, Ton Duc Thang University, Ho Chi Minh City, Viet Nam; email: duongthiminhphuong@tdtu.edu.vn","","Routledge","13683500","","","","English","Curr. Issues Tour.","Article","aip","","Scopus","2-s2.0-105002145770"
