year,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8
2000,0.016054815485149507,0.0044636470785494355,0.09674018451752353,0.10506211502669952,0.014968987295631455,0.7533395097480982,0.0010111545111300903,0.008359586337217837
2001,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0
2004,0.7268936044921118,0.0049950449446058524,0.09080189232988062,0.01765797926613828,0.06134678385110904,0.09278354827711247,0.005239781455908584,2.813653831325458e-4
2005,0.9730063565869363,3.5486075543723287e-4,0.0036281689273789876,0.001721574806526822,0.00739842569592719,0.006172503991120455,0.0076976645512851095,2.0444685387639444e-5
2006,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0
2009,0.02629357518495346,1.5685882579986434e-4,2.610136309113297e-4,2.7610999516362113e-4,7.111909842518452e-4,0.007686241111194699,0.9637403725010192,8.746377667060968e-4
2010,0.005195059542410314,1.5396680274905737e-4,9.165323663129217e-4,9.205348687630442e-4,0.005945375092610582,0.9845284704241138,0.0022207977897054252,1.1926311333503316e-4
2011,0.49186728341106034,1.4541261015076724e-4,0.001613068278194828,0.0014230042758314185,0.005526309041882605,0.4954617198735139,0.003883103727593359,8.009878177254697e-5
2012,0,0,0,0,0,0,0,0
2013,0.47621510502628644,6.68259309278823e-4,0.0027168885886495998,0.0019563499475536497,0.12123723809437577,0.3932756843522811,0.0038009999056698375,1.2947477590462527e-4
2014,0,0,0,0,0,0,0,0
2015,0.12006916900297379,7.53384500250664e-4,9.462392173849091e-4,0.001706022039127182,0.005213601539177322,0.00628210751143538,0.8597617163264503,0.00526775986320089
2016,0,0,0,0,0,0,0,0
2017,0.2267308385648446,0.0013258521593352945,0.24857861062059775,0.08133492133445581,0.42998038270054856,0.010619532663112828,8.356402712501381e-4,5.942216858548568e-4
2018,0,0,0,0,0,0,0,0
2019,0.3795488042393509,0.09398679645248234,0.1597436535016713,0.06818042803188336,0.263429622342399,0.011051441233372332,0.009834633512841176,0.014224620685999603
2020,0.11807751448641471,0.006325744224719772,0.24696878762199506,0.26285922833959047,0.0815934157413737,0.00150084471414095,0.19114678273982935,0.09152768213193611
2021,0.006501972853018532,0.3180938387431923,0.004953451007551591,8.985466848901182e-4,0.0025705466921431084,2.688068398933026e-4,0.6443375566858902,0.022375280493420722
2022,0.24487582586489076,0.01450188083891626,0.19126499061411018,0.09912213370318362,3.3808232292983415e-4,0.09123339417292627,0.04689099167195164,0.3117727008110916
2023,0.2338678873408065,0.10287221558649576,0.23130246772863414,0.09570124824881432,0.04226950616094767,0.016751348048117353,0.009699863611444308,0.26753546327474004
2024,0.16922844000743398,0.028149354640295336,0.16916142892595137,0.20759449119721157,0.2118895636542978,0.05923089775745847,0.1373148265765363,0.017430997240815184
2025,0.001135909845249875,0.4419557705456864,0.15081677696578685,0.0697141514554854,0.013952920401322042,2.485474256269866e-4,2.3758557442306305e-4,0.32193833778641945
